waveTime,significant_wave_height (m)
1596816000,0.46
1596817800,0.44
1596819600,0.44
1596821400,0.44
1596823200,0.45
1596825000,0.44
1596826800,0.48
1596828600,0.5
1596830400,0.51
1596832200,0.62
1596834000,0.62
1596835800,0.53
1596837600,0.46
1596839400,0.42
1596841200,0.41
1596843000,0.4
1596844800,0.38
1596846600,0.42
1596848400,0.43
1596850200,0.47
1596852000,0.5
1596853800,0.51
1596855600,0.51
1596857400,0.47
1596859200,0.5
1596861000,0.47
1596862800,0.48
1596864600,0.44
1596866400,0.41
1596868200,0.43
1596870000,0.42
1596871800,0.41
1596873600,0.43
1596875400,0.41
1596877200,0.42
1596879000,0.4
1596880800,0.44
1596882600,0.44
1596884400,0.45
1596886200,0.47
1596888000,0.46
1596889800,0.45
1596891600,0.44
1596893400,0.41
1596895200,0.41
1596897000,0.41
1596898800,0.42
1596900600,0.39
1596902400,0.39
1596904200,0.37
1596906000,0.38
1596907800,0.37
1596909600,0.37
1596911400,0.38
1596913200,0.4
1596915000,0.39
1596916800,0.38
1596918600,0.38
1596922200,0.44
1596924000,0.43
1596925800,0.44
1596927600,0.48
1596929400,0.49
1596931200,0.54
1596933000,0.57
1596934800,0.62
1596936600,0.64
1596938400,0.67
1596940200,0.66
1596942000,0.62
1596943800,0.6
1596945600,0.6
1596947400,0.56
1596949200,0.54
1596951000,0.53
1596952800,0.5
1596954600,0.5
1596956400,0.52
1596958200,0.51
1596960000,0.5
1596961800,0.46
1596963600,0.47
1596965400,0.46
1596967200,0.46
1596969000,0.47
1596970800,0.45
1596972600,0.45
1596974400,0.46
1596976200,0.45
1596978000,0.43
1596979800,0.44
1596981600,0.44
1596983400,0.43
1596985200,0.41
1596987000,0.4
1596988800,0.44
1596990600,0.43
1596992400,0.41
1596994200,0.43
1596996000,0.37
1596997800,0.4
1596999600,0.39
1597001400,0.38
1597003200,0.43
1597005000,0.45
1597006800,0.46
1597008600,0.48
1597010400,0.56
1597012200,0.57
1597014000,0.61
1597015800,0.66
1597017600,0.65
1597019400,0.63
1597021200,0.68
1597023000,0.69
1597024800,0.75
1597026600,0.84
1597028400,0.85
1597030200,0.82
1597032000,0.72
1597033800,0.63
1597035600,0.6
1597037400,0.53
1597039200,0.48
1597041000,0.47
1597042800,0.39
1597044600,0.4
1597046400,0.38
1597048200,0.37
1597050000,0.36
1597051800,0.36
1597053600,0.34
1597055400,0.36
1597057200,0.37
1597059000,0.39
1597060800,0.38
1597062600,0.41
1597064400,0.38
1597066200,0.4
1597068000,0.43
1597069800,0.43
1597071600,0.41
1597073400,0.38
1597075200,0.38
1597077000,0.37
1597078800,0.33
1597080600,0.31
1597082400,0.32
1597084200,0.31
1597086000,0.32
1597087800,0.34
1597089600,0.34
1597091400,0.38
1597093200,0.4
1597095000,0.45
1597096800,0.48
1597098600,0.47
1597100400,0.5
1597102200,0.53
1597104000,0.57
1597105800,0.6
1597107600,0.77
1597109400,0.87
1597111200,0.61
1597113000,0.49
1597114800,0.38
1597116600,0.36
1597118400,0.38
1597120200,0.41
1597122000,0.42
1597123800,0.42
1597125600,0.46
1597127400,0.45
1597129200,0.45
1597131000,0.43
1597132800,0.46
1597134600,0.45
1597136400,0.46
1597138200,0.47
1597140000,0.48
1597141800,0.48
1597143600,0.47
1597145400,0.45
1597147200,0.46
1597149000,0.43
1597150800,0.42
1597152600,0.4
1597154400,0.42
1597156200,0.43
1597158000,0.42
1597159800,0.39
1597161600,0.38
1597163400,0.38
1597165200,0.37
1597167000,0.36
1597168800,0.33
1597170600,0.31
1597172400,0.29
1597174200,0.32
1597176000,0.32
1597177800,0.35
1597179600,0.4
1597181400,0.51
1597183200,0.57
1597185000,0.63
1597186800,0.68
1597188600,0.64
1597190400,0.58
1597192200,0.57
1597194000,0.57
1597195800,0.54
1597197600,0.54
1597199400,0.5
1597201200,0.44
1597203000,0.43
1597204800,0.41
1597206600,0.38
1597208400,0.38
1597210200,0.41
1597212000,0.42
1597213800,0.42
1597215600,0.42
1597217400,0.38
1597219200,0.36
1597221000,0.36
1597222800,0.38
1597224600,0.41
1597226400,0.43
1597228200,0.45
1597230000,0.45
1597231800,0.47
1597233600,0.48
1597235400,0.45
1597237200,0.42
1597239000,0.41
1597240800,0.4
1597242600,0.39
1597244400,0.37
1597246200,0.36
1597248000,0.34
1597249800,0.32
1597251600,0.32
1597253400,0.34
1597255200,0.36
1597257000,0.35
1597258800,0.33
1597260600,0.34
1597262400,0.39
1597264200,0.41
1597266000,0.47
1597267800,0.51
1597269600,0.55
1597271400,0.65
1597273200,0.7
1597275000,0.76
1597276800,0.79
1597278600,0.72
1597280400,0.71
1597282200,0.66
1597284000,0.65
1597285800,0.63
1597287600,0.6
1597289400,0.6
1597291200,0.58
1597293000,0.58
1597294800,0.58
1597296600,0.58
1597298400,0.58
1597300200,0.61
1597302000,0.59
1597303800,0.61
1597305600,0.58
1597307400,0.57
1597309200,0.56
1597311000,0.56
1597312800,0.52
1597314600,0.55
1597316400,0.51
1597318200,0.51
1597320000,0.5
1597321800,0.47
1597323600,0.46
1597325400,0.46
1597327200,0.46
1597329000,0.42
1597330800,0.4
1597332600,0.38
1597334400,0.39
1597336200,0.37
1597338000,0.38
1597339800,0.42
1597341600,0.45
1597343400,0.47
1597345200,0.54
1597347000,0.63
1597348800,0.68
1597350600,0.79
1597352400,0.83
1597354200,0.83
1597356000,0.8
1597357800,0.76
1597359600,0.73
1597361400,0.73
1597363200,0.65
1597365000,0.62
1597366800,0.63
1597368600,0.65
1597370400,0.62
1597372200,0.6
1597374000,0.65
1597375800,0.62
1597377600,0.6
1597379400,0.6
1597381200,0.61
1597383000,0.63
1597384800,0.61
1597386600,0.61
1597388400,0.61
1597390200,0.61
1597392000,0.63
1597393800,0.61
1597395600,0.6
1597397400,0.54
1597399200,0.54
1597401000,0.52
1597402800,0.51
1597404600,0.5
1597406400,0.49
1597408200,0.45
1597410000,0.43
1597411800,0.42
1597413600,0.43
1597415400,0.44
1597417200,0.46
1597419000,0.44
1597420800,0.48
1597422600,0.46
1597424400,0.47
1597426200,0.49
1597428000,0.49
1597429800,0.54
1597431600,0.54
1597435200,0.62
1597437000,0.76
1597438800,0.63
1597440600,0.55
1597442400,0.5
1597444200,0.49
1597446000,0.49
1597447800,0.46
1597449600,0.47
1597451400,0.52
1597453200,0.5
1597455000,0.52
1597456800,0.53
1597458600,0.57
1597460400,0.58
1597462200,0.62
1597464000,0.57
1597465800,0.59
1597467600,0.59
1597469400,0.62
1597471200,0.63
1597473000,0.64
1597474800,0.65
1597476600,0.66
1597478400,0.67
1597480200,0.7
1597482000,0.69
1597483800,0.68
1597485600,0.63
1597487400,0.63
1597489200,0.6
1597491000,0.55
1597492800,0.53
1597494600,0.51
1597496400,0.5
1597498200,0.5
1597500000,0.49
1597501800,0.5
1597503600,0.5
1597505400,0.51
1597507200,0.51
1597509000,0.53
1597510800,0.55
