waveTime,significant_wave_height (m)
1585756800,0.46
1585758600,0.53
1585760400,0.63
1585762200,0.62
1585764000,0.63
1585765800,0.54
1585767600,0.46
1585769400,0.39
1585771200,0.34
1585773000,0.33
1585774800,0.31
1585776600,0.34
1585778400,0.3
1585780200,0.32
1585782000,0.43
1585783800,0.51
1585785600,0.67
1585787400,0.49
1585789200,0.42
1585791000,0.42
1585792800,0.43
1585794600,0.43
1585796400,0.44
1585798200,0.53
1585800000,0.56
1585801800,0.67
1585803600,0.58
1585805400,0.57
1585807200,0.58
1585809000,0.55
1585810800,0.64
1585812600,0.61
1585814400,0.64
1585816200,0.47
1585818000,0.36
1585819800,0.32
1585821600,0.34
1585823400,0.32
1585825200,0.27
1585827000,0.27
1585828800,0.31
1585830600,0.33
1585832400,0.34
1585834200,0.35
1585836000,0.3
1585837800,0.33
1585839600,0.31
1585841400,0.31
1585843200,0.31
1585845000,0.35
1585846800,0.37
1585848600,0.31
1585850400,0.31
1585852200,0.31
1585854000,0.44
1585855800,0.5
1585857600,0.45
1585859400,0.45
1585861200,0.53
1585863000,0.48
1585864800,0.49
1585866600,0.62
1585868400,0.66
1585870200,0.64
1585872000,0.7
1585873800,0.74
1585875600,0.84
1585877400,0.87
1585879200,0.91
1585881000,0.94
1585882800,0.9
1585884600,0.86
1585886400,0.8
1585888200,0.8
1585890000,0.8
1585891800,0.69
1585893600,0.59
1585895400,0.57
1585897200,0.63
1585899000,0.68
1585900800,0.63
1585902600,0.64
1585904400,0.62
1585906200,0.48
1585908000,0.54
1585909800,0.49
1585911600,0.56
1585913400,0.59
1585915200,0.6
1585917000,0.61
1585918800,0.61
1585920600,0.64
1585922400,0.78
1585924200,0.84
1585926000,0.84
1585927800,0.96
1585929600,0.93
1585931400,0.88
1585933200,0.85
1585935000,0.8
1585936800,0.93
1585938600,1.02
1585940400,0.89
1585942200,0.89
1585944000,0.94
1585945800,0.79
1585947600,0.89
1585949400,1.02
1585951200,1.19
1585953000,1.26
1585954800,1.15
1585956600,1.65
1585958400,1.51
1585960200,1.34
1585962000,1.28
1585963800,1.24
1585965600,1.04
1585967400,0.97
1585969200,0.97
1585971000,0.87
1585972800,0.79
1585974600,0.75
1585976400,0.66
1585978200,0.55
1585980000,0.47
1585981800,0.41
1585983600,0.45
1585985400,0.55
1585987200,0.58
1585989000,0.49
1585990800,0.57
1585992600,0.44
1585994400,0.39
1585996200,0.33
1585998000,0.33
1585999800,0.31
1586001600,0.31
1586003400,0.29
1586005200,0.22
1586007000,0.27
1586008800,0.35
1586010600,0.42
1586012400,0.41
1586014200,0.41
1586016000,0.35
1586017800,0.29
1586019600,0.27
1586021400,0.28
1586023200,0.28
1586025000,0.33
1586026800,0.3
1586028600,0.35
1586030400,0.42
1586032200,0.47
1586034000,0.47
1586035800,0.46
1586037600,0.46
1586039400,0.46
1586041200,0.44
1586043000,0.37
1586044800,0.39
1586046600,0.36
1586048400,0.33
1586050200,0.3
1586052000,0.3
1586053800,0.28
1586057400,0.25
1586059200,0.26
1586061000,0.24
1586062800,0.23
1586064600,0.22
1586066400,0.23
1586068200,0.24
1586070000,0.24
1586071800,0.22
1586073600,0.22
1586075400,0.19
1586077200,0.17
1586079000,0.17
1586080800,0.19
1586082600,0.23
1586084400,0.27
1586086200,0.29
1586088000,0.29
1586089800,0.31
1586091600,0.34
1586093400,0.32
1586095200,0.34
1586097000,0.37
1586098800,0.43
1586100600,0.48
1586102400,0.44
1586104200,0.46
1586106000,0.41
1586107800,0.36
1586109600,0.38
1586111400,0.38
1586113200,0.37
1586115000,0.38
1586116800,0.36
1586118600,0.39
1586120400,0.34
1586122200,0.36
1586124000,0.32
1586125800,0.33
1586127600,0.31
1586129400,0.33
1586131200,0.3
1586133000,0.27
1586134800,0.29
1586136600,0.33
1586138400,0.29
1586140200,0.27
1586142000,0.27
1586143800,0.29
1586145600,0.31
1586147400,0.35
1586149200,0.32
1586151000,0.37
1586152800,0.39
1586154600,0.38
1586156400,0.44
1586158200,0.5
1586160000,0.53
1586161800,0.58
1586163600,0.64
1586165400,0.62
1586167200,0.6
1586169000,0.61
1586170800,0.57
1586172600,0.78
1586174400,0.82
1586176200,0.85
1586178000,0.87
1586179800,0.77
1586181600,0.72
1586183400,0.74
1586185200,0.7
1586187000,0.82
1586188800,0.7
1586190600,0.79
1586192400,0.9
1586194200,0.7
1586196000,0.66
1586197800,0.84
1586199600,0.96
1586201400,1.01
1586203200,1.22
1586205000,1.01
1586206800,1.06
1586208600,1.17
1586210400,1.19
1586212200,1.19
1586214000,1.14
1586215800,1.12
1586217600,1.04
1586219400,0.89
1586221200,0.85
1586223000,0.78
1586224800,0.75
1586226600,1.09
1586228400,1.04
1586230200,1.31
1586232000,1.47
1586233800,1.53
1586235600,1.48
1586237400,1.53
1586239200,1.51
1586241000,1.38
1586242800,1.36
1586244600,1.38
1586246400,1.39
1586248200,1.29
1586250000,0.84
1586251800,0.55
1586253600,0.82
1586255400,0.97
1586257200,1.03
1586259000,0.87
1586260800,1.04
1586262600,0.94
1586264400,0.83
1586266200,0.73
1586268000,0.67
1586269800,0.66
1586271600,0.79
1586273400,0.7
1586275200,0.83
1586277000,0.66
1586278800,0.66
1586280600,0.75
1586282400,0.73
1586284200,0.71
1586286000,0.68
1586287800,0.81
1586289600,0.97
1586291400,1.11
1586293200,1.06
1586295000,0.97
1586296800,0.88
1586298600,0.66
1586300400,0.55
1586304000,0.71
1586305800,0.73
1586307600,0.61
1586309400,0.62
1586311200,0.51
1586313000,0.36
1586314800,0.48
1586316600,0.58
1586318400,0.52
1586320200,0.39
1586322000,0.38
1586323800,0.38
1586325600,0.64
1586327400,0.75
1586329200,0.78
1586331000,0.93
1586332800,1.02
1586334600,0.94
1586336400,0.81
1586338200,0.96
1586340000,0.85
1586341800,0.73
1586343600,0.57
1586345400,0.72
1586347200,0.7
1586349000,0.7
1586350800,0.72
1586352600,0.58
1586354400,0.54
1586356200,0.56
1586358000,0.47
1586359800,0.5
1586361600,0.5
1586363400,0.57
1586365200,0.48
1586367000,0.54
1586368800,0.52
1586370600,0.51
1586372400,0.5
1586374200,0.65
1586376000,0.64
1586377800,0.68
1586379600,0.83
1586381400,0.8
1586383200,0.64
1586385000,0.53
1586386800,0.54
1586388600,0.51
1586390400,0.42
1586392200,0.41
1586394000,0.38
1586395800,0.32
1586397600,0.35
1586399400,0.37
1586401200,0.36
1586403000,0.39
1586404800,0.42
1586406600,0.41
1586408400,0.39
1586410200,0.35
1586412000,0.33
1586413800,0.31
1586415600,0.37
1586417400,0.36
1586419200,0.32
1586421000,0.42
1586422800,0.53
1586424600,0.46
1586426400,0.37
1586428200,0.38
1586430000,0.4
1586431800,0.32
1586433600,0.35
1586435400,0.39
1586437200,0.3
1586439000,0.29
1586440800,0.32
1586442600,0.29
1586444400,0.29
1586446200,0.23
1586448000,0.24
1586449800,0.25
1586451600,0.32
1586453400,0.27
1586455200,0.24
1586457000,0.22
1586458800,0.18
1586460600,0.29
1586462400,0.37
1586464200,0.4
1586466000,0.47
1586467800,0.5
1586469600,0.47
1586471400,0.47
1586473200,0.41
1586475000,0.44
1586476800,0.42
1586478600,0.44
1586480400,0.54
1586482200,0.56
1586484000,0.53
1586485800,0.72
1586487600,0.9
1586489400,0.82
1586491200,0.72
1586493000,0.63
1586494800,0.64
1586496600,0.69
1586498400,0.7
1586500200,0.68
1586502000,0.67
1586503800,0.66
1586505600,0.63
1586507400,0.63
1586509200,0.63
1586511000,0.68
1586512800,0.7
1586514600,0.6
1586516400,0.6
1586518200,0.63
1586520000,0.57
1586521800,0.67
1586523600,0.57
1586525400,0.63
1586527200,0.61
1586529000,0.67
1586530800,0.74
1586532600,0.74
1586534400,0.65
1586536200,0.54
1586538000,0.46
1586539800,0.43
1586541600,0.38
1586543400,0.42
1586545200,0.5
1586547000,0.44
1586548800,0.57
1586550600,0.74
1586552400,0.84
1586554200,0.86
1586556000,0.99
1586557800,1.22
1586559600,1.33
1586561400,1.45
1586563200,1.07
1586565000,0.83
1586566800,0.89
1586568600,1.08
1586570400,1.22
1586572200,1.32
1586574000,1.24
1586575800,1.17
1586577600,1.29
1586579400,1.1
1586581200,0.99
1586583000,0.9
1586584800,0.84
1586586600,0.79
1586588400,0.92
1586590200,0.93
1586592000,0.96
1586593800,1.23
1586595600,1.22
1586597400,1.18
1586599200,1.01
1586601000,0.98
1586602800,0.8
1586604600,0.84
1586606400,0.79
1586608200,0.95
1586610000,0.72
1586611800,0.79
1586613600,0.75
1586615400,0.72
1586617200,0.72
1586619000,0.9
1586620800,0.94
1586622600,0.92
1586624400,1.08
1586626200,0.86
1586628000,0.87
1586629800,0.86
1586631600,0.76
1586633400,0.67
1586635200,0.69
1586637000,0.86
1586638800,0.81
1586640600,0.76
1586642400,0.91
1586644200,0.78
1586646000,0.83
1586647800,0.88
1586649600,0.91
1586651400,0.77
1586653200,0.65
1586655000,0.44
1586656800,0.36
1586658600,0.41
1586660400,0.45
1586662200,0.43
1586664000,0.43
1586665800,0.38
1586667600,0.36
1586669400,0.39
1586671200,0.34
1586673000,0.27
1586674800,0.22
1586676600,0.24
1586678400,0.25
1586680200,0.3
1586682000,0.39
1586683800,0.34
1586685600,0.29
1586687400,0.24
1586689200,0.32
1586691000,0.26
1586694600,0.25
1586696400,0.24
1586698200,0.24
1586700000,0.24
1586701800,0.22
1586703600,0.24
1586705400,0.24
1586707200,0.23
1586709000,0.25
1586710800,0.27
1586712600,0.26
1586714400,0.3
1586716200,0.28
1586718000,0.4
1586719800,0.35
1586721600,0.33
1586723400,0.32
1586725200,0.26
1586727000,0.28
1586728800,0.33
1586730600,0.33
1586732400,0.32
1586734200,0.4
1586736000,0.41
1586737800,0.39
1586739600,0.43
1586741400,0.39
1586743200,0.27
1586745000,0.17
1586746800,0.15
1586748600,0.17
1586750400,0.17
1586752200,0.19
1586754000,0.2
1586755800,0.19
1586757600,0.24
1586759400,0.21
1586761200,0.21
1586763000,0.28
1586764800,0.35
1586766600,0.41
1586768400,0.36
1586770200,0.37
1586772000,0.35
1586773800,0.34
1586775600,0.28
1586777400,0.33
1586779200,0.31
1586781000,0.33
1586782800,0.3
1586784600,0.26
1586786400,0.25
1586788200,0.26
1586790000,0.26
1586791800,0.26
1586793600,0.25
1586795400,0.22
1586797200,0.21
1586799000,0.24
1586800800,0.3
1586802600,0.26
1586804400,0.24
1586806200,0.27
1586808000,0.26
1586809800,0.21
1586811600,0.19
1586813400,0.25
1586815200,0.23
1586817000,0.32
1586818800,0.31
1586820600,0.33
1586822400,0.37
1586824200,0.44
1586826000,0.56
1586827800,0.56
1586829600,0.5
1586831400,0.65
1586833200,0.57
1586835000,0.53
1586836800,0.5
1586838600,0.52
1586840400,0.63
1586842200,0.68
1586844000,0.73
1586845800,0.63
1586849400,0.67
1586851200,0.66
1586853000,0.64
1586854800,0.57
1586856600,0.74
1586858400,0.72
1586860200,0.7
1586862000,0.65
1586863800,0.56
1586865600,0.48
1586867400,0.43
1586869200,0.39
1586871000,0.38
1586872800,0.41
1586874600,0.43
1586876400,0.36
1586878200,0.31
1586880000,0.28
1586881800,0.28
1586883600,0.28
1586885400,0.27
1586887200,0.28
1586889000,0.27
1586890800,0.28
1586892600,0.25
1586894400,0.24
1586896200,0.23
1586898000,0.25
1586899800,0.3
1586901600,0.35
1586903400,0.38
1586905200,0.49
1586907000,0.7
1586908800,0.7
1586910600,0.82
1586912400,1.03
1586914200,1.23
1586916000,1.45
1586917800,1.59
1586919600,1.59
1586921400,1.49
1586923200,1.3
1586925000,1.1
1586926800,1.12
1586928600,1.06
1586930400,0.97
1586932200,0.92
1586934000,0.89
1586935800,0.86
1586937600,0.88
1586939400,0.91
1586941200,1.02
1586943000,1.03
1586944800,0.93
1586946600,0.97
1586948400,0.98
1586950200,0.87
1586952000,0.78
1586953800,0.79
1586955600,0.74
1586957400,0.7
1586959200,0.87
1586961000,1.0
1586962800,0.98
1586964600,0.95
1586966400,1.14
1586968200,0.98
1586970000,0.96
1586971800,0.91
1586973600,0.99
1586975400,1.09
1586977200,1.05
1586979000,0.96
1586980800,0.89
1586982600,0.84
1586984400,0.74
1586986200,0.7
1586988000,0.85
1586989800,0.77
1586991600,0.74
1586993400,0.71
1586995200,0.8
1586997000,0.7
1586998800,0.9
1587000600,0.72
1587002400,0.83
1587004200,0.9
1587006000,1.0
1587007800,1.01
1587009600,0.93
1587011400,1.11
1587013200,1.02
1587015000,0.93
1587016800,0.89
1587018600,0.84
1587020400,0.75
1587022200,0.67
1587024000,0.69
1587025800,0.75
1587027600,0.64
1587029400,0.69
1587031200,0.61
1587033000,0.64
1587034800,0.58
1587036600,0.56
1587038400,0.46
1587040200,0.4
1587042000,0.34
1587043800,0.35
1587045600,0.38
1587047400,0.36
1587049200,0.37
1587051000,0.4
1587052800,0.41
1587054600,0.42
1587056400,0.44
1587058200,0.49
1587060000,0.4
1587061800,0.42
1587063600,0.39
1587065400,0.38
1587067200,0.35
1587069000,0.36
1587070800,0.31
1587072600,0.34
1587074400,0.32
1587076200,0.31
1587078000,0.33
1587079800,0.32
1587081600,0.32
1587083400,0.28
1587085200,0.26
1587087000,0.34
1587088800,0.33
1587090600,0.41
1587092400,0.4
1587094200,0.45
1587096000,0.51
1587097800,0.56
1587099600,0.58
1587101400,0.53
1587103200,0.54
1587105000,0.55
1587106800,0.55
1587108600,0.56
1587110400,0.54
1587112200,0.5
1587114000,0.53
1587115800,0.59
1587117600,0.64
1587119400,0.64
1587121200,0.59
1587123000,0.61
1587124800,0.6
1587126600,0.63
1587128400,0.57
1587130200,0.54
1587132000,0.48
1587133800,0.49
1587135600,0.46
1587137400,0.49
1587139200,0.48
1587141000,0.52
1587142800,0.6
1587144600,0.61
1587146400,0.66
1587148200,0.61
1587150000,0.56
1587151800,0.64
1587153600,0.55
1587155400,0.58
1587157200,0.62
1587159000,0.63
1587160800,0.7
1587162600,0.71
1587164400,0.72
1587166200,0.65
1587168000,0.63
1587169800,0.66
1587171600,0.7
1587173400,0.69
1587175200,0.75
1587177000,0.79
1587178800,0.77
1587180600,0.8
1587182400,0.85
1587184200,0.82
1587186000,0.82
1587187800,0.81
1587189600,0.86
1587191400,0.83
1587193200,0.82
1587195000,0.88
1587196800,0.82
1587198600,0.73
1587200400,0.67
1587202200,0.62
1587204000,0.51
1587205800,0.53
1587207600,0.56
1587209400,0.59
1587211200,0.58
1587213000,0.57
1587214800,0.53
1587216600,0.5
1587218400,0.53
1587220200,0.53
1587222000,0.55
1587223800,0.58
1587225600,0.65
1587227400,0.66
1587229200,0.71
1587231000,0.69
1587232800,0.66
1587234600,0.67
1587236400,0.73
1587238200,0.69
1587240000,0.7
1587241800,0.84
1587243600,0.88
1587245400,0.86
1587247200,0.82
1587249000,0.77
1587250800,0.58
1587252600,0.54
1587254400,0.58
1587256200,0.53
1587258000,0.55
1587259800,0.56
1587261600,0.57
1587263400,0.61
1587265200,0.65
1587267000,0.72
1587268800,0.85
1587270600,1.0
1587272400,1.05
1587274200,0.97
1587276000,0.95
1587277800,0.94
1587279600,0.87
1587281400,0.87
1587283200,0.83
1587285000,0.8
1587286800,0.71
1587288600,0.67
1587290400,0.58
1587292200,0.55
1587294000,0.54
1587295800,0.61
1587297600,0.61
1587299400,0.59
1587301200,0.58
1587303000,0.51
1587304800,0.53
1587306600,0.49
1587308400,0.42
1587310200,0.43
1587312000,0.41
1587313800,0.4
1587315600,0.5
1587317400,0.46
1587319200,0.44
1587321000,0.44
1587322800,0.46
1587324600,0.48
1587326400,0.48
1587328200,0.5
1587330000,0.51
1587331800,0.51
1587335400,0.42
1587337200,0.45
1587339000,0.39
1587340800,0.39
1587342600,0.45
1587344400,0.48
1587346200,0.5
1587348000,0.5
1587349800,0.44
1587351600,0.5
1587353400,0.45
1587355200,0.52
1587357000,0.63
1587358800,0.66
1587360600,0.64
1587362400,0.55
1587364200,0.5
1587366000,0.57
1587367800,0.56
1587369600,0.57
1587371400,0.53
